# Language File – BACKEND
# SWEDISH
# languages
"english";"Engelska"
"Database Table Prefix";
"Database Name";
"Database Host";
"Database Username";
"Database Password";
"Install CMS";
"Please double check all of the information on this page. If everything looks right then click <b>Install Now</b> to install Digitalus CMS";
"Install Now";
"Installation Successfull!";
"Digitalus CMS was successfully installed on your domain.";
"Before you use it you must completely delete the <strong>install</strong> folder, as in this screenshot:</p>";
"Once that folder is deleted Digitalus will automatically load when you visit this domain.";
"Digitalus CMS is already installed";
"Could not load config file (";
"Could not write to config file (";
"Successfully loaded and tested site configuration";
"PHP Version: <b>";
"Checked PHP version...OK!";
"Could not write to cache directory  (";
"Checked cache directory...OK!";
"Could not write to media directory  (";
"Checked media directory...OK!";
"Could not write to trash directory  (";
"Checked trash directory...OK!";
"Checked server environment...OK!";
"Your first name is required";
"Your last name is required";
"A valid email address is required";
"Your password is required";
"Your database name is required";
"Your database host is required";
"Your database username is required";
"The target database is not empty";
"Unable to write to target database";
"Database passed tests and is ready to install";
"The database was successfully installed";
"An error occured installing the database";
"Your admin account was successfully created";
"There was an error creating your admin account";
# admin section -- Misc –
"Username";"Användarnamn"
"You must enter a username.";"Du måste ange ett användarnamn."
"You must enter a password.";"Du måste ange ett lösenord."
"You must enter a valid OpenID.";
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";
"Bookmark label:";
"Your bookmark was successfully saved.";
"Sorry, we could not find the page you requested";
"Application Error";
"The page you requested was not found. Digitalus CMS could not locate the error page either.";
"Invalid command";
"Cache cleared Key";
"Cache cleared";
"Error: Cache is not registered";
"The cache clear function will either clear a specified key or all cache files if a key is not specified.";
"Params: key (string, optional)";
"starting import process";
"ERROR: error loading sitemap file";
"The import sitemap command will import an xml sitemap. This file should be located in application/data/ and be named sitemap.xml.";
"loading page nodes";
"ignoring";
"page already exists in this location";
"inserting";
"ERROR: an error occured inserting";
"Validating module directory";
"Module exists. Installing ...";
"Module installed";
"ERROR: Could not load module directory";
"ERROR: Invalid request";
"The install module command will install a module in the database if the module is installed properly.";
"Params: moduleName (string), label (string, optional)";
"The list command lists all of the available functions. Double click a function to open it.";
"ERROR: Could not create pages table.";
"pages table created OK.";
"ERROR: Could not create content_nodes table.";
"content_nodes table created OK.";
"There are no content pages to migrate.";
"pages have been migrated successfully.";
"The Update Database command will update your database from version 1.0.x to 1.5.x.";
"Params: none";
"ERROR: could not update content template references.";
"Content template references updated OK.";
"The Update Version 18 command will update your database from version 1.5 to 1.8";
"The Update Version 19 command will update your database from version 1.8 to 1.9";
"Unable to delete item - the item is empty!";
"Unable to cast type:";
"to type:";
"Unable to load content item";
"An error occurred uploading the file";
"This filetype is not allowed";
"Illegal file access attempt. Operation cancelled!";
"Method does not exist";
"Getter does not exist";
"Setter does not exist";
"Unable to load service for this module";
"Unable to set this protected property in Digitalus_Page";
"You are here";"Du är här"
"Headline";
"Main";
"Header";
"Footer";
"Sidebar";
"Submenu";
"More";
"Module";
# END
