# Language File – BACKEND
# RUSSIAN
"Your first name is required";"Имя &mdash; это обязательное поле"
"Your last name is required";"Фамилия &mdash; это обязательное поле"
"A valid email address is required";"Нужно ввести валидный адрес эл. почты"
"Your password is required";"Пароль &mdash; это обязательное поле"
"Your database name is required";"Имя базы данны &mdash; это обязательное поле"
"Your database host is required";"Хост БД &mdash; это обязательное поле"
"Your database username is required";"Пользатель БД &mdash; это обязательное поле"
"The target database is not empty";"Указанная база данных не пуста"
"Unable to write to target database";"Нет прав на запись в указанную БД"
"Database passed tests and is ready to install";"БД прошла тесты и готова к установке"
"The database was successfully installed";"БД успешно установлена"
"An error occured installing the database";"Произошла ошибка во время установки БД"
"Your admin account was successfully created";"Ваш бюджет администратора успешно создан"
"There was an error creating your admin account";"Произошла ошибка во время создания бюджета администратора"
# admin section -- Misc –
"Username";"Имя пользователя"
"You must enter a username.";"Вы должны ввести имя пользователя"
"You must enter a password.";"Вы должны ввести пароль"
"You must enter a valid OpenID.";"Вы должны ввести валидный OpenID"
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";"Вы настаиваете на удалении?"
"Bookmark label:";"Добавить в закладки"
"Your bookmark was successfully saved.";"Ваша закладка успешно сохранена"
"Sorry, we could not find the page you requested";"Извините, не удалось найти запрошенную Вами страницу"
"Application Error";"Ошибка приложения"
"The page you requested was not found. Digitalus CMS could not locate the error page either.";"Запрошенная Вами страница не найдена. Digitalus CMS также не может найти страницу для вывода ошибки"
"Invalid command";"Неверная команда"
"Cache cleared Key";"Кеш очищен??? как это перевести?"
"Cache cleared";"Кеш очищен"
"Error: Cache is not registered";"Ошибка: кеш не зарегистрирован"
"The cache clear function will either clear a specified key or all cache files if a key is not specified.";"Функция очистки кеша также удалит указанный ключ или же все файлы кеша, если ключ не указан"
"Params: key (string, optional)";"Параметры: ключ (строка, необязательные)"
"starting import process";"Начинается процесс импорта"
"ERROR: error loading sitemap file";"Ошибка загрузки файла карты сайта"
"The import sitemap command will import an xml sitemap. This file should be located in application/data/ and be named sitemap.xml.";"Команда импорта карты сайта обработает карту xml-файле. Этот файл должен находиться в application/data/ и называться sitemap.xml."
"loading page nodes";"загрузка (узловых?) страниц"
"ignoring";"игнорируем"
"page already exists in this location";"По этому адресу страница уже существует"
"inserting";"вставляем"
"ERROR: an error occured inserting";"произошла ошибка при вставке"
"Validating module directory";"Валидация каталога с модулем"
"Module exists. Installing ...";"Модуль существует. Установка..."
"Module installed";"Модуль установлен"
"ERROR: Could not load module directory";"ОШИБКА: невозможно открыть каталог модуля"
"ERROR: Invalid request";"ОШИБКА: неправильный запрос"
"The install module command will install a module in the database if the module is installed properly.";"Команда установки модуля внесёт информацию в базу данных, если модуль будет установлен корректно"
"Params: moduleName (string), label (string, optional)";"Параметры: имя модуля (строка), метка (строка, необязательно)"
"The list command lists all of the available functions. Double click a function to open it.";"Команда выведения списка покажет все доступные функции. Щёлкните дважды, чтобы открыть список."
"ERROR: Could not create pages table.";"ОШИБКА: Невозможно создать таблицу"
"pages table created OK.";"таблица pages создана успешно"
"ERROR: Could not create content_nodes table.";"ОШИБКА: Невозможно создать таблицу content_nodes"
"content_nodes table created OK.";"таблица content_nodes создана успешно"
"There are no content pages to migrate.";"Нет страниц с содержимым для переноса"
"pages have been migrated successfully.";"страниц(ы) перенесено успешно"
"The Update Database command will update your database from version 1.0.x to 1.5.x.";"Команда обновления базы данных проведёт обновление с версии 1.0.x до 1.5.x"
"Params: none";"Параметры: нет"
"ERROR: could not update content template references.";"ОШИБКА: невозможно обновить ссылки на шаблон контента"
"Content template references updated OK.";"Ссылки на шаблоны контента обновлены успешно"
"ERROR: could not update database.";
"Databases successfully updated!";
"ERROR: could not update config.";
"Config successfully updated!";
"The Update Version 18 command will update your database from version 1.5 to 1.8";"Команда Update Version 18 обновит базу данных с версии 1.5 до 1.8"
"The Update Version 19 command will update your database from version 1.8 to 1.9";"Команда Update Version 19 обновит базу данных с версии 1.8 до 1.9"
"The Update Version 110 command will update your database from version 1.9 to 1.10";
"Significant changes have been made to the database structure.";
"Please be sure to make a backup copy of Your databases BEFORE updating!";
"Page Label";
"Page Headline";
"Unable to delete item - the item is empty!";"Невозможно удалить пустой элемент (item)"
"Unable to cast type:";"Не удалось преобразовать тип"
"to type:";"в тип"
"Unable to load content item";"Не удалось загрузить элемент содержимого"
"The given table doesn't exist";
"An error occurred uploading the file";"Произошла ошибка при закачке файла на сервер"
"This filetype is not allowed";"Этот тип файлов не разрешён"
"Illegal file access attempt. Operation cancelled!";"Попытка запрещённого доспута к файлу. Операция отменена"
"Method does not exist";"Метод не существует"
"Getter does not exist";"Геттер(Getter) не существует"
"Setter does not exist";"Сеттер(Setter) не существует"
"Unable to load service for this module";"Не удалось загрузить сервис для этого модуля"
"Unable to set this protected property in Digitalus_Page";"Не удалось установить защищённое свойство для Digitalus_Page"
"You are here";"Вы находитесь здесь"
"Headline";"Заголовок"
"Main";"Основной"
"Header";"Чердак"
"Footer";"Подвал"
"Sidebar";"Боковая панель"
"Submenu";"Подменю"
"More";"Ещё"
"Module";"Модуль"
# END
